#Compound                    Mass                        parameter_A              parameter_B              surface_tension   
C813O                        189.185800000000            11.979370503496          5971.912961884077        0.05
C128CO                       226.268900000000            11.522173369277          5860.232988241527        0.05
C732CO                       158.151900000000            10.385466221819          5052.563414424551        0.05
BCLKACO                      252.306200000000            10.335512272467          5304.830925897022        0.05
C721CO3H                     188.177900000000            10.501704798814          5248.280389675709        0.05
HMACROH                      120.103900000000             9.509067641969          4741.874272758017        0.05
C630OOH                      146.141200000000             9.911249920984          5120.422279487846        0.05
C718CO2H                     172.178500000000            10.186797059658          4840.733226767023        0.05
C137OOH                      242.311400000000            12.310269294805          6548.371848925014        0.05
C1214OH                      228.284800000000            11.308619685285          5853.621047034714        0.05
C142O2                       255.330000000000            10.549789376379          5071.222689898653        0.05
C144OOH                      272.337400000000            13.352501544728          7197.216135146485        0.05
BCLKCOH                      254.322100000000            10.884420472603          5657.875612585213        0.05
C145O                        287.328800000000            13.628883637829          7424.057693338355        0.05
C1311OOH                     242.311400000000            12.787891199754          6696.096015885986        0.05
C127OH                       212.285400000000            10.653029782228          5359.554845490605        0.05
C152O                        285.356000000000            11.735996665756          5872.538226237541        0.05
HPC52CO3H                    198.128100000000            12.732721682669          7127.652480941409        0.05
C136OOH                      226.312000000000            10.328527834262          5080.380694127533        0.05
C129OH                       226.268900000000            10.173320935322          5156.051168887480        0.05
BCLKCO2                      269.313500000000             8.926710887872          4525.000869733869        0.05
C142OH                       240.338600000000            11.364129332057          5861.379292779042        0.05
C824OOH                      174.194400000000            10.588095396528          5438.413457120524        0.05
C131CO3H                     270.321500000000            11.487120957712          5922.831651105927        0.05
C1313OOH                     258.310800000000            12.996951770826          6946.303911791164        0.05
C143NO3                      301.335500000000            11.352298935190          5799.576556063244        0.05
INB1HPCHO                    195.127500000000            11.652116290108          5930.724184329569        0.05
C916OOH                      202.204500000000            10.920337410432          5553.927205045014        0.05
