#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat               All_J.dat.csv
9.17361111111100058224e+01  2.84998721023100021199e+00  4.91900223820999968893e+01  6.28234497354500029398e-03  9.88470000000000027285e+02  1.05847785356900002807e+06  4.58191599491100021169e+00  9.99999999999999954748e-07
9.17430555555600051321e+01  2.56001278976799984122e+00  5.03798401279000032105e+01  6.25932248677199976755e-03  9.88380057554000018172e+02  8.98084083034500014037e+05  4.48091180902900010352e+00  9.99999999999999954748e-07
9.17500000000000000000e+01  2.37000000000000010658e+00  5.09900000000000019895e+01  6.23630000000000017657e-03  9.88500000000000000000e+02  7.37690312500000000000e+05  4.46359685460399990831e+00  7.35916954226924040217e-03
9.17569444444399948679e+01  2.11998721023199987457e+00  5.24802621902399977216e+01  6.32075436507899962590e-03  9.88550044764200038117e+02  7.06329416725100018084e+05  2.08007008918100000372e+00  9.99999999999999954748e-07
9.17638888888899941776e+01  1.92999840127899990883e+00  5.36799999999999997158e+01  6.40520873015900001068e-03  9.88550012789800007340e+02  6.74968520950200036168e+05  4.12020719035099958205e+00  9.99999999999999954748e-07
9.17708333333300032564e+01  1.67997601918499994689e+00  5.48700191846499976123e+01  6.48966309523800032738e-03  9.88420071942399999898e+02  6.43607625175300054252e+05  3.03162874245500013615e+00  8.42526507988095030299e-03
9.17777777777800025660e+01  1.40000959232600008519e+00  5.58099744204600014541e+01  6.45418629629599966552e-03  9.88499980815299977621e+02  5.84727312609700020403e+05  3.13801924549300004230e+00  4.18327873471160006230e-03
9.17847222222199974340e+01  1.16997442046300004215e+00  5.64199680255799975725e+01  6.41576037036999981267e-03  9.88319993605099966771e+02  5.25846999890299979597e+05  3.39744017309000012617e+00  1.61451189092479000312e-03
9.17916666666699967436e+01  6.60023980815300004288e-01  5.70998369304600004170e+01  6.37733444444399995982e-03  9.88150014388500039786e+02  4.66966687473899975885e+05  2.77489132251199999146e+00  4.03371095355074989197e-04
9.17986111111100058224e+01  6.00239808173299999039e-02  5.73899888089500009869e+01  6.34810347222200012374e-03  9.88249988809000001311e+02  4.62303739566000003833e+05  3.30137634950800018530e+00  9.27153455757919950364e-03
9.18055555555600051321e+01  1.79999999999999993339e-01  5.77099104716199988729e+01  6.31933611111099979157e-03  9.88060044764200029022e+02  4.57640791657999972813e+05  3.02088603589400017668e+00  3.39121247705810981501e-03
9.18125000000000000000e+01  5.60000000000000053291e-01  5.67999999999999971578e+01  6.29034285714299978842e-03  9.88009999999999990905e+02  4.52977843750000000000e+05  2.10395626080200015551e+00  2.67057162000856017359e-03
9.18194444444399948679e+01  3.69948840927899980091e-01  5.64201854516400018724e+01  6.25843809523799962657e-03  9.88039999999999963620e+02  4.28590583378800016362e+05  2.83742921433799999420e+00  2.51673720478383009490e-04
9.18263888888899941776e+01  1.49988808951900004507e-01  5.77699824140700002317e+01  6.22653333333300033209e-03  9.87999974420500052474e+02  4.04203323007499973755e+05  2.23563825815099992411e+00  1.38742534214758000272e-02
9.18333333333300032564e+01  2.19952038369399999196e-01  5.78800959232600007454e+01  6.19812619047600040639e-03  9.87900047961599966584e+02  3.79816062636299990118e+05  2.00000000000000000000e+00  1.02633960423295991782e-02
9.18402777777800025660e+01  1.70006394884199996120e-01  5.81700959232599998927e+01  6.23908849206299999379e-03  9.87840000000000031832e+02  3.57256562542000028770e+05  4.29514742394700022032e+00  6.41512357644553020408e-03
9.18472222222199974340e+01  9.98721023157399939718e-03  5.83100319744199993011e+01  6.28005079365099964928e-03  9.87909958433299948410e+02  3.34697062457999971230e+05  5.40119967499300024372e+00  1.08281420407547995105e-02
9.18541666666699967436e+01  -1.60047961630600005245e-01  5.87300431654700005879e+01  6.31883126984099981888e-03  9.87780023980800024219e+02  3.12137562537199992221e+05  5.03851896148700006961e+00  1.62426231296143011498e-04
9.18611111111100058224e+01  -1.00000000000000005551e-01  5.89099856115100024567e+01  6.26888417989399961139e-03  9.87849984012799950506e+02  3.18786156274800014216e+05  2.34067546247799995740e+00  1.52837386985836994058e-02
9.18680555555600051321e+01  -1.19948840927899993969e-01  5.92098401279000015052e+01  6.21893708994700027126e-03  9.87799904076700045152e+02  3.25434750012399978004e+05  1.05804441112099993916e+01  9.99999999999999954748e-07
9.18750000000000000000e+01  -1.40000000000000013323e-01  5.92100000000000008527e+01  6.16899000000000006377e-03  9.87570000000000050022e+02  3.32083343750000000000e+05  3.17050038131100020422e+00  9.99999999999999954748e-07
